 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
פסגות, 0003659, 0000901, 0000798, 0000004, 0000794, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000618, 0000000, 0000001, 0000092, 0000002, 0000000, 0000000, 0000061, 0000000, 0000000, 0000001, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000001, 0000002, 0000006
פסוטה, 0000535, 0002347, 0001151, 0000012, 0001139, 0000048, 0000000, 0000328, 0000001, 0000001, 0000000, 0000426, 0000001, 0000000, 0000000, 0000004, 0000000, 0000014, 0000008, 0000177, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000012, 0000000, 0000000, 0000000, 0000001, 0000001, 0000002, 0000017, 0000001, 0000000, 0000002, 0000000, 0000066
פעמי תש"ז, 0002059, 0000303, 0000207, 0000003, 0000204, 0000022, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000012, 0000001, 0000012, 0000043, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000013, 0000000, 0000000, 0000001, 0000000, 0000004, 0000002, 0000001, 0000000, 0000004, 0000000, 0000078
פצאל, 0003615, 0000224, 0000157, 0000000, 0000157, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000022, 0000001, 0000006, 0000055, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000014, 0000000, 0000000, 0000001, 0000000, 0000001
פקיעין (בוקייעה), 0000536, 0003813, 0002412, 0000029, 0002383, 0000089, 0000000, 0000264, 0000000, 0000000, 0000000, 0000739, 0000000, 0000000, 0000000, 0000021, 0000000, 0000065, 0000842, 0000032, 0000000, 0000000, 0000000, 0000001, 0000008, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000181, 0000005, 0000001, 0000011, 0000000, 0000090
פקיעין חדשה, 0000281, 0000256, 0000169, 0000001, 0000168, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000001, 0000036, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000009, 0000002, 0000000, 0000000, 0000000, 0000000, 0000006, 0000008, 0000000, 0000000, 0000000, 0000000, 0000080
פרדס חנה-כרכור, 0007800, 0025286, 0016520, 0000162, 0016358, 0002775, 0000099, 0000006, 0000001, 0000010, 0000006, 0000086, 0000343, 0000000, 0000026, 0001394, 0000122, 0000347, 0004385, 0001141, 0000005, 0000007, 0000162, 0000016, 0000003, 0000007, 0002809, 0000149, 0000006, 0000000, 0000013, 0000019, 0000252, 0000882, 0000011, 0000022, 0000206, 0000039, 0001009
פרדסיה, 0000171, 0004689, 0003545, 0000015, 0003530, 0000693, 0000008, 0000000, 0000001, 0000003, 0000000, 0000007, 0000040, 0000000, 0000008, 0000220, 0000001, 0000099, 0000649, 0000163, 0000001, 0000000, 0000032, 0000000, 0000000, 0000001, 0001074, 0000044, 0000002, 0000000, 0000007, 0000000, 0000057, 0000265, 0000000, 0000000, 0000035, 0000013, 0000107
פרוד, 0000599, 0000270, 0000177, 0000001, 0000176, 0000078, 0000002, 0000000, 0000000, 0000001, 0000000, 0000001, 0000004, 0000000, 0000000, 0000009, 0000000, 0000005, 0000014, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000015, 0000000, 0000002, 0000004, 0000003, 0000001
פרזון, 0002053, 0000298, 0000198, 0000001, 0000197, 0000029, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000022, 0000000, 0000004, 0000091, 0000002, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000017, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000008, 0000000, 0000000, 0000001, 0000000, 0000004
פרי גן, 0001231, 0000130, 0000092, 0000000, 0000092, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000014, 0000000, 0000007, 0000025, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000002, 0000000, 0000000, 0000000, 0000000, 0000003, 0000008, 0000000, 0000000, 0000002, 0000001, 0000003
פתח תקווה, 0007900, 0168776, 0112308, 0001114, 0111194, 0012304, 0004332, 0000010, 0000011, 0000125, 0000012, 0000084, 0000746, 0000000, 0000275, 0014711, 0000963, 0002222, 0032264, 0002610, 0000013, 0000044, 0001985, 0000030, 0000029, 0000033, 0019967, 0001403, 0000108, 0000000, 0000083, 0000073, 0001356, 0005788, 0000064, 0000033, 0001299, 0000230, 0007987
פתחיה, 0000839, 0000610, 0000437, 0000008, 0000429, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000003, 0000046, 0000000, 0000037, 0000134, 0000008, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000072, 0000003, 0000000, 0000000, 0000000, 0000000, 0000005, 0000024, 0000000, 0000000, 0000003, 0000000, 0000052
צאלים, 0000413, 0000363, 0000253, 0000001, 0000252, 0000121, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000002, 0000000, 0000000, 0000011, 0000000, 0000006, 0000014, 0000039, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000013, 0000000, 0000000, 0000005, 0000001, 0000000
צביה, 0001180, 0000241, 0000185, 0000003, 0000182, 0000050, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000000, 0000001, 0000000, 0000007, 0000006, 0000022, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000049, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000023, 0000000, 0000000, 0000012, 0000001, 0000000
צובה, 0000465, 0000591, 0000403, 0000006, 0000397, 0000247, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000006, 0000000, 0000009, 0000017, 0000039, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000018, 0000000, 0000000, 0000006, 0000001, 0000000
צוחר, 0001136, 0000337, 0000193, 0000000, 0000193, 0000021, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000028, 0000000, 0000008, 0000045, 0000005, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000033, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000005, 0000000, 0000000, 0000008, 0000001, 0000023
צופים, 0003791, 0000904, 0000719, 0000001, 0000718, 0000045, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000289, 0000000, 0000005, 0000188, 0000006, 0000000, 0000000, 0000058, 0000000, 0000000, 0000001, 0000063, 0000003, 0000000, 0000000, 0000001, 0000000, 0000005, 0000015, 0000000, 0000000, 0000006, 0000002, 0000023
צופית, 0000198, 0000749, 0000589, 0000000, 0000589, 0000143, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000012, 0000000, 0000000, 0000027, 0000000, 0000019, 0000067, 0000085, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000172, 0000002, 0000001, 0000000, 0000000, 0000002, 0000003, 0000047, 0000000, 0000000, 0000005, 0000001, 0000000
צופר, 0001150, 0000281, 0000217, 0000002, 0000215, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000009, 0000000, 0000044, 0000022, 0000024, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000054, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000021, 0000000, 0000000, 0000002, 0000000, 0000000
צוקי ים, 0001102, 0000143, 0000105, 0000001, 0000104, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000000, 0000012, 0000000, 0000001, 0000007, 0000022, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000010, 0000000, 0000000, 0000001, 0000000, 0000000
צוקים, 0001262, 0000107, 0000093, 0000001, 0000092, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000000, 0000005, 0000000, 0000000, 0000008, 0000008, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000007, 0000000, 0000001, 0000004, 0000002, 0000000
צור הדסה, 0001113, 0003439, 0002638, 0000009, 0002629, 0000448, 0000010, 0000001, 0000000, 0000001, 0000000, 0000025, 0000035, 0000000, 0000003, 0000187, 0000002, 0000050, 0000661, 0000256, 0000000, 0000000, 0000052, 0000000, 0000000, 0000000, 0000610, 0000000, 0000000, 0000000, 0000002, 0000000, 0000061, 0000140, 0000000, 0000002, 0000030, 0000003, 0000050
צור יצחק, 0001345, 0001173, 0000997, 0000000, 0000997, 0000211, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000014, 0000000, 0000003, 0000059, 0000000, 0000021, 0000160, 0000066, 0000002, 0000001, 0000010, 0000000, 0000000, 0000000, 0000338, 0000002, 0000001, 0000000, 0000000, 0000000, 0000011, 0000067, 0000000, 0000000, 0000010, 0000001, 0000020
צור משה, 0000276, 0001660, 0001342, 0000005, 0001337, 0000298, 0000002, 0000000, 0000000, 0000000, 0000000, 0000005, 0000028, 0000000, 0000000, 0000050, 0000000, 0000026, 0000155, 0000122, 0000000, 0000000, 0000005, 0000000, 0000000, 0000001, 0000457, 0000000, 0000000, 0000000, 0000006, 0000001, 0000010, 0000147, 0000000, 0000002, 0000011, 0000003, 0000008
צור נתן, 0001148, 0000207, 0000155, 0000000, 0000155, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000002, 0000000, 0000000, 0000013, 0000000, 0000007, 0000040, 0000004, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000045, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000000, 0000000, 0000001, 0000000, 0000002
צוריאל, 0000774, 0000244, 0000171, 0000000, 0000171, 0000014, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000017, 0000000, 0000004, 0000065, 0000002, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000015, 0000009, 0000000, 0000000, 0000001, 0000000, 0000027
צורית, 0001221, 0000564, 0000452, 0000001, 0000451, 0000139, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000002, 0000000, 0000000, 0000034, 0000000, 0000003, 0000041, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000133, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000044, 0000000, 0000000, 0000006, 0000000, 0000000
ציפורי, 0000613, 0000544, 0000416, 0000000, 0000416, 0000092, 0000000, 0000000, 0000000, 0000001, 0000000, 0000003, 0000009, 0000000, 0000000, 0000028, 0000000, 0000019, 0000058, 0000036, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000117, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000038, 0000000, 0000003, 0000007, 0000000, 0000001
צלפון, 0000796, 0000548, 0000386, 0000000, 0000386, 0000029, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000072, 0000000, 0000003, 0000164, 0000004, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000028, 0000015, 0000000, 0000000, 0000000, 0000000, 0000006, 0000006, 0000000, 0000000, 0000001, 0000000, 0000050
צנדלה, 0000636, 0001030, 0000448, 0000005, 0000443, 0000015, 0000000, 0000085, 0000000, 0000000, 0000000, 0000063, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000010, 0000000, 0000000, 0000000, 0000000, 0000265, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000
צפריה, 0000594, 0000432, 0000365, 0000000, 0000365, 0000012, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000211, 0000000, 0000001, 0000053, 0000002, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000020, 0000003, 0000000, 0000000, 0000000, 0000000, 0000007, 0000001, 0000000, 0000000, 0000001, 0000000, 0000019
צפרירים, 0001079, 0000266, 0000169, 0000001, 0000168, 0000034, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000002, 0000000, 0000000, 0000004, 0000000, 0000004, 0000034, 0000025, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000018, 0000001, 0000002, 0000000, 0000000, 0000001, 0000005, 0000007, 0000000, 0000000, 0000005, 0000001, 0000017
צפת, 0008000, 0020991, 0012788, 0000159, 0012629, 0000496, 0001337, 0000014, 0000000, 0000011, 0000002, 0000025, 0000029, 0000000, 0000014, 0001638, 0000057, 0000166, 0003548, 0000089, 0000002, 0000006, 0001218, 0000004, 0000023, 0000003, 0000515, 0000219, 0000002, 0000000, 0000005, 0000012, 0000173, 0000194, 0000008, 0000004, 0000159, 0000010, 0002646
צרופה, 0000612, 0000613, 0000469, 0000004, 0000465, 0000064, 0000020, 0000000, 0000000, 0000000, 0000000, 0000002, 0000008, 0000000, 0000000, 0000040, 0000000, 0000011, 0000152, 0000017, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000060, 0000006, 0000000, 0000000, 0000000, 0000000, 0000007, 0000027, 0000000, 0000000, 0000006, 0000001, 0000026
צרעה, 0000567, 0000806, 0000553, 0000001, 0000552, 0000257, 0000000, 0000000, 0000000, 0000001, 0000000, 0000006, 0000013, 0000000, 0000000, 0000010, 0000000, 0000004, 0000019, 0000107, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000072, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000033, 0000000, 0000000, 0000005, 0000000, 0000001
קבועה (שבט), 0001234, 0000538, 0000170, 0000005, 0000165, 0000000, 0000001, 0000017, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000082, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000058
קבוצת יבנה, 0000334, 0000612, 0000459, 0000001, 0000458, 0000048, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000234, 0000001, 0000005, 0000053, 0000013, 0000000, 0000000, 0000012, 0000000, 0000001, 0000001, 0000053, 0000000, 0000000, 0000000, 0000000, 0000001, 0000013, 0000017, 0000000, 0000000, 0000002, 0000000, 0000001
קדומים, 0003557, 0002302, 0001972, 0000010, 0001962, 0000005, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0001382, 0000000, 0000002, 0000225, 0000001, 0000000, 0000000, 0000255, 0000000, 0000000, 0000000, 0000006, 0000023, 0000001, 0000000, 0000002, 0000002, 0000011, 0000002, 0000000, 0000000, 0000005, 0000001, 0000031
קדימה-צורן, 0000195, 0011883, 0008845, 0000054, 0008791, 0001522, 0000035, 0000000, 0000001, 0000008, 0000000, 0000009, 0000106, 0000000, 0000010, 0000547, 0000019, 0000207, 0001785, 0000429, 0000001, 0000001, 0000073, 0000000, 0000002, 0000002, 0002455, 0000042, 0000002, 0000000, 0000006, 0000002, 0000117, 0000682, 0000001, 0000003, 0000101, 0000030, 0000593
קדמת צבי, 0004025, 0000303, 0000199, 0000002, 0000197, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000010, 0000001, 0000007, 0000032, 0000005, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000031, 0000000, 0000001, 0000004, 0000000, 0000000
קדר, 0003781, 0000698, 0000515, 0000003, 0000512, 0000028, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000106, 0000000, 0000004, 0000229, 0000004, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000065, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000011, 0000000, 0000000, 0000003, 0000003, 0000030
קדרון, 0000615, 0001045, 0000838, 0000004, 0000834, 0000202, 0000003, 0000000, 0000000, 0000001, 0000000, 0000000, 0000015, 0000000, 0000000, 0000023, 0000000, 0000019, 0000085, 0000086, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000281, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000090, 0000001, 0000000, 0000008, 0000001, 0000006
קדרים, 0001211, 0000105, 0000074, 0000000, 0000074, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000014, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000008, 0000000, 0000001, 0000000, 0000000, 0000000
קודייראת א-צאנע(ש, 0000964, 0001014, 0000306, 0000008, 0000298, 0000003, 0000000, 0000046, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000002, 0000002, 0000000, 0000000, 0000000, 0000000, 0000227, 0000000, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000002, 0000001, 0000001, 0000001, 0000003
קוואעין (שבט), 0000972, 0000366, 0000093, 0000001, 0000092, 0000001, 0000000, 0000072, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000
קוממיות, 0000766, 0000247, 0000149, 0000003, 0000146, 0000000, 0000141, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004
קורנית, 0001179, 0000541, 0000433, 0000005, 0000428, 0000138, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000007, 0000000, 0000000, 0000010, 0000000, 0000004, 0000040, 0000073, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000111, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000029, 0000000, 0000000, 0000004, 0000001, 0000000
קטורה, 0001052, 0000430, 0000200, 0000001, 0000199, 0000065, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000008, 0000000, 0000002, 0000011, 0000048, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000020, 0000000, 0000000, 0000005, 0000000, 0000000
קיסריה, 0001167, 0003948, 0002608, 0000015, 0002593, 0000332, 0000004, 0000002, 0000000, 0000000, 0000000, 0000009, 0000047, 0000000, 0000005, 0000144, 0000000, 0000085, 0000588, 0000222, 0000002, 0000000, 0000017, 0000000, 0000000, 0000001, 0000748, 0000000, 0000000, 0000000, 0000000, 0000000, 0000046, 0000281, 0000000, 0000001, 0000034, 0000006, 0000019
קלחים, 0000414, 0000289, 0000213, 0000001, 0000212, 0000052, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000014, 0000000, 0000007, 0000032, 0000018, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000014, 0000000, 0000000, 0000000, 0000001, 0000037
קליה, 0003601, 0000295, 0000219, 0000004, 0000215, 0000041, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000007, 0000043, 0000006, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000048, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000009, 0000000, 0000001, 0000013, 0000000, 0000001
קלנסווה, 0000638, 0011260, 0005923, 0000084, 0005839, 0000083, 0000000, 0000823, 0000001, 0000001, 0000000, 0001445, 0000002, 0000000, 0000000, 0000007, 0000001, 0000003, 0000047, 0000249, 0000001, 0000000, 0000003, 0000000, 0003063, 0000001, 0000019, 0000000, 0000000, 0000000, 0000005, 0000003, 0000006, 0000019, 0000002, 0000007, 0000004, 0000004, 0000040
קלע, 0004024, 0000134, 0000065, 0000002, 0000063, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000002, 0000002, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001, 0000000, 0000000
קציר, 0001243, 0001804, 0001255, 0000010, 0001245, 0000275, 0000003, 0000003, 0000000, 0000001, 0000000, 0000004, 0000028, 0000000, 0000000, 0000073, 0000002, 0000016, 0000222, 0000135, 0000000, 0000000, 0000009, 0000001, 0000000, 0000001, 0000282, 0000003, 0000000, 0000000, 0000000, 0000000, 0000007, 0000119, 0000000, 0000003, 0000028, 0000006, 0000024
קצר א-סר, 0001347, 0000530, 0000317, 0000004, 0000313, 0000001, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000001, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000283, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000017
קצרין, 0004100, 0005651, 0003233, 0000073, 0003160, 0000375, 0000008, 0000001, 0000001, 0000001, 0000001, 0000004, 0000019, 0000000, 0000005, 0000532, 0000046, 0000051, 0001043, 0000068, 0000001, 0000003, 0000097, 0000002, 0000001, 0000007, 0000384, 0000023, 0000002, 0000000, 0000003, 0000005, 0000063, 0000179, 0000005, 0000002, 0000085, 0000010, 0000133
קרית אונו, 0002620, 0025378, 0018851, 0000138, 0018713, 0003536, 0000066, 0000001, 0000000, 0000020, 0000003, 0000047, 0000165, 0000000, 0000045, 0001172, 0000011, 0000480, 0003917, 0001275, 0000005, 0000004, 0000192, 0000002, 0000000, 0000003, 0005015, 0000064, 0000007, 0000000, 0000003, 0000004, 0000265, 0001441, 0000006, 0000008, 0000175, 0000041, 0000740
קרית ארבע, 0003611, 0004320, 0003137, 0000041, 0003096, 0000029, 0000018, 0000002, 0000001, 0000004, 0000000, 0000001, 0000001, 0000000, 0000001, 0001308, 0000007, 0000004, 0000615, 0000009, 0000000, 0000000, 0000864, 0000001, 0000000, 0000000, 0000030, 0000053, 0000000, 0000000, 0000002, 0000005, 0000014, 0000007, 0000001, 0000001, 0000022, 0000001, 0000095
קרית אתא, 0006800, 0043617, 0026595, 0000363, 0026232, 0002706, 0000479, 0000002, 0000009, 0000036, 0000006, 0000020, 0000090, 0000000, 0000057, 0003079, 0000284, 0000643, 0009312, 0000282, 0000005, 0000008, 0000495, 0000008, 0000009, 0000007, 0003540, 0000228, 0000016, 0000000, 0000017, 0000022, 0000388, 0001507, 0000021, 0000010, 0000314, 0000081, 0002551
קרית ביאליק, 0009500, 0033554, 0021019, 0000305, 0020714, 0003383, 0000069, 0000006, 0000009, 0000030, 0000006, 0000017, 0000126, 0000000, 0000044, 0001234, 0000171, 0000567, 0006583, 0000501, 0000006, 0000013, 0000163, 0000012, 0000005, 0000010, 0004436, 0000090, 0000018, 0000000, 0000027, 0000018, 0000247, 0001589, 0000023, 0000009, 0000296, 0000048, 0000958
קרית גת, 0002630, 0038225, 0023296, 0000374, 0022922, 0001421, 0001019, 0000006, 0000004, 0000037, 0000004, 0000008, 0000057, 0000000, 0000026, 0002257, 0000245, 0000412, 0008444, 0000218, 0000006, 0000004, 0000523, 0000018, 0000008, 0000007, 0002176, 0000168, 0000031, 0000000, 0000049, 0000017, 0000322, 0000901, 0000036, 0000008, 0000245, 0000051, 0004194
קרית טבעון, 0002300, 0012818, 0009205, 0000047, 0009158, 0002543, 0000127, 0000004, 0000000, 0000009, 0000000, 0000065, 0000142, 0000000, 0000011, 0000371, 0000008, 0000231, 0001376, 0001044, 0000002, 0000008, 0000086, 0000000, 0000004, 0000004, 0002017, 0000008, 0000001, 0000000, 0000001, 0000007, 0000124, 0000768, 0000002, 0000014, 0000087, 0000010, 0000084
קרית ים, 0009600, 0035553, 0019441, 0000370, 0019071, 0001956, 0000103, 0000006, 0000005, 0000029, 0000006, 0000014, 0000096, 0000000, 0000063, 0001357, 0000444, 0000346, 0008098, 0000217, 0000007, 0000009, 0000221, 0000019, 0000007, 0000010, 0002853, 0000183, 0000028, 0000000, 0000030, 0000019, 0000216, 0001180, 0000026, 0000019, 0000269, 0000067, 0001168
קרית יערים, 0001137, 0002199, 0001631, 0000010, 0001621, 0000008, 0001137, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000061, 0000000, 0000001, 0000028, 0000004, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000009, 0000022, 0000000, 0000000, 0000001, 0000001, 0000015, 0000000, 0000000, 0000000, 0000006, 0000000, 0000300
קרית מוצקין, 0008200, 0034909, 0022221, 0000279, 0021942, 0003617, 0000105, 0000001, 0000010, 0000052, 0000010, 0000017, 0000156, 0000000, 0000067, 0001619, 0000212, 0000508, 0006807, 0000446, 0000005, 0000009, 0000222, 0000012, 0000004, 0000008, 0004757, 0000074, 0000017, 0000000, 0000026, 0000010, 0000321, 0001622, 0000026, 0000017, 0000291, 0000061, 0000833
קרית מלאכי, 0001034, 0015854, 0009710, 0000157, 0009553, 0000467, 0000384, 0000000, 0000002, 0000005, 0000002, 0000000, 0000028, 0000000, 0000015, 0001500, 0000034, 0000159, 0002670, 0000044, 0000001, 0000001, 0000936, 0000006, 0000006, 0000004, 0000365, 0000127, 0000016, 0000000, 0000084, 0000008, 0000136, 0000278, 0000006, 0000005, 0000068, 0000015, 0002181
קרית נטפים, 0003746, 0000312, 0000265, 0000000, 0000265, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000146, 0000000, 0000001, 0000063, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000002, 0000020, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000001, 0000001, 0000010
